,s_d2,s_d3,s_d4,s_d5,s_d6,s_d7,s_d8,s_d9,s_d10,s_d12,s_d16,s_d19,s_d20,s_d23,s_d24,s_d26,s_d28
0,0,0,0,0,0,0,0,0,2,77,62,62,62,67,62,67,62
1,383,394,372,329,330,338,298,339,409,497,567,552,616,587,588,571,621
2,260,212,214,211,170,231,223,272,216,582,591,568,575,569,570,587,530
3,298,288,252,260,244,328,284,375,269,600,625,596,650,573,617,649,590
4,309,252,255,264,226,295,257,334,246,612,642,591,653,595,615,645,582
5,296,252,243,258,214,316,271,351,239,542,591,563,628,534,576,613,550
6,315,271,273,264,235,351,262,372,253,551,571,524,592,532,549,580,487
7,281,270,273,239,233,334,274,380,234,586,610,566,650,575,567,627,563
8,321,284,293,281,260,328,296,398,275,557,577,548,619,612,579,586,523
9,307,277,252,256,240,334,265,374,245,549,568,514,585,631,537,569,540
10,288,265,270,266,226,341,247,358,246,587,584,510,623,601,559,614,528
11,321,257,256,260,222,347,274,367,242,547,522,488,592,628,533,548,465
12,336,286,269,303,253,402,312,415,266,604,604,530,626,656,535,596,537
13,351,346,304,311,261,409,309,412,279,599,593,550,643,645,570,595,502
14,352,291,307,293,257,390,302,389,278,579,561,509,627,623,554,576,471
15,401,356,349,325,302,424,332,442,300,609,567,543,628,663,562,587,521
16,378,362,381,321,283,426,335,419,294,590,555,541,624,653,547,580,503
17,392,375,390,330,269,411,333,424,338,629,634,563,661,699,610,630,547
18,406,349,418,370,298,413,332,465,353,629,614,563,657,741,599,606,533
19,396,388,360,355,322,437,378,438,355,618,609,547,678,697,616,594,556
20,439,391,369,381,334,466,346,476,343,611,629,563,662,724,590,613,521
21,367,360,384,322,318,411,318,413,321,631,633,576,661,722,609,630,532
22,406,379,378,326,313,426,359,438,306,611,693,625,654,772,590,634,557
23,357,397,408,346,294,409,323,439,334,635,710,616,709,774,654,664,549
24,378,399,395,360,293,449,320,439,367,595,610,575,656,750,583,628,499
25,415,393,429,347,306,421,368,448,336,622,695,586,695,767,616,660,555
26,401,363,430,336,296,409,352,442,334,594,705,591,667,775,595,678,520
27,369,364,401,310,290,413,358,438,337,586,669,618,698,721,625,661,543
28,387,379,419,309,331,428,362,424,292,634,660,593,653,720,534,638,510
29,405,333,379,324,285,410,309,436,298,640,652,597,672,719,591,669,518
30,421,390,489,364,317,406,363,451,347,614,662,580,662,735,588,669,530
31,396,446,400,338,306,417,340,467,356,602,645,593,686,760,577,657,531
32,415,408,386,321,355,398,325,454,310,621,650,624,694,731,595,692,514
33,398,388,386,323,278,380,320,425,318,663,683,618,686,762,593,661,570
34,402,372,462,337,271,405,305,432,294,669,668,582,675,726,603,656,549
35,432,346,393,331,293,414,334,430,326,648,658,610,682,736,618,643,536
36,453,347,389,328,298,409,326,423,357,664,653,600,699,762,621,674,525
37,419,374,465,337,326,438,349,448,329,653,657,594,703,719,629,647,535
38,430,386,476,319,284,406,362,443,338,631,654,611,704,701,599,662,517
39,463,396,452,350,328,425,359,406,385,665,647,594,720,776,612,700,540
40,413,403,467,378,325,430,367,484,360,685,640,604,709,711,601,634,556
41,492,399,495,346,323,414,337,432,336,667,668,591,709,768,643,682,581
42,424,409,517,323,337,403,358,444,328,639,628,573,654,701,619,655,521
43,452,393,459,318,301,399,319,452,329,688,675,603,687,744,622,660,553
44,470,398,445,345,308,419,364,428,353,642,650,612,651,721,624,653,546
45,435,414,419,350,297,390,351,461,328,671,629,622,676,741,644,686,566
46,420,358,468,324,294,419,350,418,340,613,643,610,662,721,602,648,522
47,468,383,459,335,320,410,367,436,349,644,658,605,676,759,640,639,546
48,422,371,412,347,303,382,346,433,343,650,677,613,666,742,620,650,523
49,448,413,464,357,357,401,362,452,367,668,670,591,679,733,624,659,587
50,440,401,492,366,332,404,402,468,328,622,647,630,673,704,618,664,534
51,429,440,487,362,318,408,360,474,357,663,650,628,681,733,617,671,539
52,481,425,507,383,354,469,378,435,357,652,691,638,700,774,614,687,529
53,411,377,456,303,305,347,348,453,341,650,625,598,687,730,609,646,515
54,418,407,433,342,308,401,346,474,350,676,698,671,729,753,667,675,593
55,410,420,491,320,292,417,360,435,320,664,641,639,682,759,668,677,559
56,394,411,463,336,303,402,317,422,320,667,649,575,688,723,664,661,511
57,404,377,403,352,330,440,341,442,376,648,615,614,684,689,622,644,549
58,441,382,547,344,314,404,370,411,359,646,629,573,646,713,635,647,513
59,413,342,369,332,324,374,343,438,305,661,607,562,656,665,613,601,569
60,383,332,346,288,283,348,330,381,284,495,479,438,549,570,454,452,421
61,403,317,321,304,299,363,276,363,287,481,462,431,518,558,436,453,458
62,387,300,338,297,286,347,268,394,277,522,492,447,559,607,497,482,442
63,387,339,310,281,272,374,266,355,307,537,470,479,545,554,486,487,459
64,353,308,284,315,262,365,268,374,302,483,490,436,536,569,489,430,446
65,359,306,294,330,256,333,239,377,318,480,465,467,523,575,479,449,433
66,377,333,326,304,292,357,277,376,329,521,510,491,550,607,474,476,452
67,356,337,300,280,271,382,298,368,337,491,489,427,517,569,497,464,438
68,381,322,316,304,286,379,279,386,348,482,482,449,506,565,472,461,449
69,371,326,302,298,280,366,266,389,330,503,483,461,526,573,492,472,437
70,368,336,292,310,294,357,285,365,313,498,474,482,493,553,486,468,433
71,354,304,286,266,285,351,261,315,288,487,497,469,524,576,480,468,450
72,367,313,284,286,273,343,262,347,352,492,455,450,499,595,435,445,449
73,363,336,326,298,302,363,264,353,320,515,467,443,493,565,466,478,450
74,349,326,317,280,261,344,257,342,301,500,480,449,520,566,470,457,442
75,354,303,322,294,257,381,288,345,316,575,512,495,565,629,519,500,486
76,368,306,329,279,299,355,258,371,303,519,538,502,558,602,497,502,493
77,341,328,265,287,255,390,266,359,306,538,516,510,572,592,533,515,486
78,363,301,286,281,265,398,299,334,284,533,518,520,552,567,506,480,469
79,357,286,303,239,281,352,255,331,272,549,508,514,545,612,479,495,463
80,356,309,329,249,277,347,248,307,292,524,503,521,577,586,502,501,486
81,342,312,313,285,269,363,282,335,313,502,491,491,551,571,488,479,483
82,307,311,281,262,254,351,265,336,278,526,508,474,543,560,481,513,483
83,368,295,268,259,242,366,275,330,282,546,545,450,540,590,487,455,466
84,345,316,302,264,267,346,269,336,291,520,509,483,563,609,475,520,461
85,349,285,267,249,243,354,252,320,269,547,532,444,546,640,496,484,481
86,376,292,304,270,261,321,264,331,286,553,518,450,602,598,505,486,480
87,367,327,297,282,265,336,231,320,281,512,504,459,529,595,483,455,463
88,364,330,279,269,253,321,245,299,299,510,497,426,516,586,455,483,464
89,355,295,313,265,252,344,257,330,320,442,429,405,464,534,403,417,402
90,380,305,292,266,252,365,246,316,309,451,435,444,523,574,440,435,429
91,318,305,302,249,273,317,243,298,333,437,461,450,494,594,430,447,445
92,370,328,318,303,257,324,272,330,325,423,463,426,510,572,446,416,438
93,376,340,315,322,266,336,272,336,329,450,435,470,499,572,428,439,411
94,356,295,302,244,273,344,228,332,283,430,463,429,495,543,410,395,419
95,342,290,297,268,249,328,221,314,292,482,455,463,514,563,429,435,455
96,383,319,296,284,257,362,269,337,342,430,479,428,497,546,433,457,424
97,376,319,303,275,248,336,277,345,315,464,457,455,474,562,398,453,441
98,372,316,307,291,260,318,252,311,324,428,468,478,512,578,429,433,386
99,353,315,269,272,255,379,291,297,321,418,433,444,507,552,448,423,408
100,344,355,314,269,282,362,281,318,309,469,478,488,511,605,452,482,441
101,386,324,348,294,264,354,264,378,323,430,456,399,475,548,426,381,425
102,379,323,322,289,287,343,287,352,317,431,457,455,493,554,394,464,406
103,357,314,323,283,275,352,281,355,324,438,464,437,485,548,388,403,424
104,362,319,309,288,267,334,269,355,327,449,467,441,470,520,419,448,411
105,343,339,312,251,231,337,267,318,319,441,434,413,490,531,444,457,458
106,366,319,273,291,301,359,300,334,301,433,429,409,490,551,429,426,419
107,331,302,303,271,232,313,239,350,275,491,482,437,545,578,437,430,442
108,387,330,321,288,271,333,277,324,338,457,462,450,522,526,400,443,428
109,347,318,311,280,267,375,299,323,305,460,449,435,514,537,427,455,428
110,341,317,319,243,263,336,259,346,299,452,469,438,508,547,434,474,472
111,324,321,294,253,278,323,294,314,291,428,493,424,492,562,424,426,441
112,347,312,279,272,261,361,303,329,299,443,493,428,500,524,383,428,422
113,360,285,280,274,263,330,245,313,295,418,485,434,475,537,386,444,413
114,366,327,312,263,267,347,313,307,287,481,458,403,477,540,400,431,425
115,338,292,295,273,251,358,289,313,315,438,462,415,453,525,375,437,398
116,322,306,264,264,269,348,296,314,322,442,453,418,496,506,408,459,457
117,382,315,292,292,258,371,307,310,255,443,433,400,488,519,416,406,418
118,334,292,270,272,261,340,293,335,272,452,445,411,479,549,434,469,440
119,334,295,280,259,241,343,262,293,283,445,455,389,454,502,387,397,396
120,347,285,252,235,249,354,251,326,272,401,460,412,457,486,386,413,420
121,327,260,279,238,237,365,247,303,267,439,419,433,466,472,387,406,411
122,347,272,266,246,242,311,228,319,275,404,446,418,472,504,398,403,400
123,322,275,293,257,228,337,288,314,283,411,416,407,1074,502,390,419,411
124,337,260,281,247,258,354,260,302,269,407,429,404,1070,495,389,411,411
125,380,289,302,275,261,363,280,369,301,425,451,440,1114,462,413,448,402
126,384,403,356,354,336,445,336,400,365,427,458,426,1111,527,439,451,433
127,433,387,378,343,329,458,336,432,370,543,508,475,1549,584,484,486,470
128,417,364,358,298,313,404,323,385,346,469,490,514,1493,573,452,484,487
129,399,386,326,325,300,372,300,399,333,513,518,538,1553,588,496,506,498
130,388,333,354,327,306,420,315,410,360,443,469,444,1520,524,432,450,446
131,357,334,326,323,286,363,292,390,344,462,445,440,1471,524,407,458,471
132,348,316,313,330,287,395,297,354,367,482,471,457,1435,486,445,478,436
133,376,326,303,278,278,391,263,356,317,495,485,451,1404,518,416,490,448
134,361,329,307,322,276,354,276,351,320,497,489,430,1110,524,441,424,446
135,396,341,293,296,269,364,271,317,323,454,472,450,1014,511,436,448,478
136,385,355,330,324,303,384,310,359,369,513,453,474,1010,536,433,475,498
137,356,340,278,285,254,365,277,346,316,471,489,474,978,527,435,469,433
138,371,323,286,275,274,362,275,335,326,455,496,466,1129,524,409,489,461
139,375,314,283,258,257,364,259,327,293,491,489,430,1184,535,445,421,436
140,386,327,314,291,288,351,263,334,347,476,451,452,2211,533,408,460,449
141,354,287,285,293,288,387,303,355,309,486,503,470,2197,506,436,489,489
142,354,297,298,278,276,363,271,352,315,489,470,473,2231,521,424,462,471
143,400,302,312,272,261,367,252,349,289,495,494,471,2212,528,440,456,462
144,374,325,315,283,279,404,298,337,348,498,480,479,2212,549,425,458,471
145,391,314,316,308,280,349,265,358,331,464,473,485,2219,526,462,456,467
146,369,324,287,337,291,370,291,332,320,536,493,463,2228,521,437,467,517
147,365,295,293,278,246,322,288,347,289,466,483,481,2215,541,433,447,479
148,401,310,334,306,260,367,286,330,334,479,428,459,2228,511,463,443,462
149,394,328,299,299,288,373,294,340,334,509,489,452,2239,543,459,446,483
150,377,327,311,274,281,371,262,372,327,508,484,467,2239,539,469,478,479
151,383,325,302,302,274,332,275,337,334,471,501,473,2139,518,415,432,476
152,377,337,285,286,267,378,277,355,347,479,452,446,2243,559,433,463,456
153,402,318,299,273,256,338,257,360,325,525,498,525,2211,535,461,480,506
154,397,309,294,283,263,353,270,344,321,507,481,486,2212,549,420,478,443
155,396,330,307,316,296,389,308,357,347,511,467,453,2218,554,458,483,470
156,373,345,303,291,293,370,294,389,336,497,506,436,2197,539,437,455,473
157,392,340,324,289,273,330,262,373,308,489,508,476,2212,510,448,476,505
158,375,338,312,322,311,413,299,347,316,488,492,459,2194,577,438,483,437
159,397,330,304,302,278,389,296,374,350,507,492,466,2215,559,439,471,495
160,369,348,323,286,266,358,258,371,321,484,495,446,2194,573,453,477,470
161,392,378,330,349,298,382,291,410,352,510,509,471,2163,573,454,495,479
162,413,346,325,332,316,364,288,380,347,505,496,452,2200,571,464,509,477
163,435,354,323,323,301,367,269,376,357,497,506,506,2164,595,469,472,472
164,358,341,347,322,302,371,312,364,351,549,463,475,2140,573,426,464,433
165,400,367,314,303,298,392,317,397,357,538,523,484,1871,561,476,481,523
166,430,363,344,318,331,369,311,388,377,494,502,504,1889,607,430,477,487
167,416,354,312,322,331,408,365,404,383,516,534,434,3053,593,476,488,471
168,368,351,326,335,285,364,307,394,340,517,531,499,3069,601,474,501,481
169,404,313,339,327,319,414,312,427,368,487,484,500,3077,579,432,431,461
170,408,369,336,324,309,396,308,371,331,526,504,475,3064,569,477,490,494
171,422,348,368,323,282,383,345,401,346,520,483,481,3066,586,480,480,470
172,452,377,355,356,377,397,312,425,401,476,535,511,3070,1679,479,501,485
173,436,371,359,357,298,400,347,409,374,483,527,518,3078,1700,481,467,487
174,440,334,350,359,308,378,327,397,384,488,519,460,3064,1672,472,487,473
175,430,371,376,352,304,387,339,423,374,466,500,465,3082,1705,488,503,439
176,452,378,347,356,330,391,320,401,373,526,485,491,3076,1691,479,507,505
177,466,380,388,392,338,420,325,384,394,513,539,513,3070,1702,489,502,502
178,416,381,369,381,324,396,340,444,386,519,539,523,3099,1715,497,548,504
179,435,376,374,355,349,413,339,422,388,570,539,533,3097,1703,525,548,523
180,445,407,364,356,292,423,353,412,390,542,545,531,3086,1683,505,506,513
181,427,399,374,373,322,423,346,430,377,523,513,514,3113,1714,477,493,489
182,441,405,378,396,325,418,345,453,371,542,527,489,3115,1724,491,537,517
183,455,391,370,338,374,387,349,441,354,530,560,507,3137,1723,517,534,502
184,446,412,424,382,324,417,345,418,420,509,556,515,3087,1733,491,523,503
185,472,432,442,396,397,457,395,437,449,503,515,520,3106,1731,466,512,482
186,473,452,386,420,369,435,402,465,415,554,511,544,3128,1792,489,513,485
187,520,432,426,443,344,431,373,463,430,514,538,530,3142,1796,491,531,501
188,471,423,378,407,360,481,364,478,406,537,533,520,3148,1775,469,520,488
189,471,443,386,420,321,445,411,476,408,558,539,527,3147,1787,518,554,479
190,465,438,419,419,371,448,398,456,414,527,520,538,3113,1734,476,540,497
191,490,436,436,438,391,443,390,437,439,510,540,531,3125,1813,495,530,470
192,481,472,434,419,358,465,414,450,443,572,570,559,3167,1871,528,570,577
193,538,483,490,445,424,525,440,526,468,606,627,609,3300,1901,567,623,564
194,608,543,535,464,427,566,511,550,550,671,673,673,3551,2047,633,679,608
195,603,508,509,531,447,534,471,528,562,698,698,682,3626,2262,625,692,639
196,613,554,533,536,511,576,516,567,567,673,678,663,3670,2355,634,725,673
197,655,598,572,543,484,623,488,581,600,702,736,708,3717,2512,651,751,644
198,630,547,572,513,506,571,535,589,537,738,734,715,3686,2578,655,749,683
199,627,553,504,507,483,557,515,572,559,684,725,702,5579,2636,632,768,666
200,616,568,566,544,465,578,500,565,548,684,750,721,4444,2705,690,731,674
201,648,542,517,478,458,600,508,587,600,648,731,700,5226,2745,638,749,650
202,638,543,559,496,541,590,460,579,545,691,755,705,3733,2785,631,729,662
203,657,535,546,531,490,552,480,534,560,694,773,729,5450,2882,664,771,650
204,635,496,493,498,440,546,505,554,548,727,766,689,3736,2858,680,706,678
205,642,559,537,526,455,560,504,565,552,685,741,726,5315,2845,650,694,663
206,659,564,538,520,519,621,503,564,582,689,747,691,5237,2917,671,697,661
207,671,530,546,515,503,613,522,574,596,756,780,737,5409,2942,727,737,704
208,676,566,564,534,474,616,518,566,579,714,748,724,5020,2927,704,706,692
209,659,527,543,536,457,605,506,582,539,728,749,717,5547,2929,691,715,718
210,588,536,556,495,446,599,491,580,580,727,754,680,4260,2873,681,689,748
211,706,552,613,547,494,625,506,610,609,685,740,677,5662,2887,637,700,673
212,666,549,498,529,496,626,485,553,549,699,762,732,5815,2909,708,737,681
213,674,558,569,571,537,613,530,538,653,699,746,697,5788,2848,682,779,710
214,701,553,626,549,503,606,540,589,616,736,779,720,5830,2850,662,762,748
215,667,561,573,540,518,615,501,588,614,746,839,776,3960,2881,680,846,725
216,664,567,584,557,522,661,602,595,642,729,810,770,3958,2828,717,825,739
217,726,582,585,558,511,633,525,630,643,790,823,757,4001,2710,731,769,730
218,691,620,613,598,561,623,548,595,619,726,847,757,3996,2783,720,798,747
219,724,607,589,552,465,647,550,617,625,804,842,796,4559,2721,731,795,772
220,753,613,622,581,531,657,567,648,655,782,908,846,5216,2726,760,856,824
221,724,615,659,558,554,680,538,630,667,806,915,854,4112,2738,787,866,837
222,757,649,664,619,588,725,593,623,698,809,927,846,5424,2683,796,873,801
223,785,649,668,586,606,720,631,677,686,802,924,873,4137,2628,817,913,819
224,769,680,669,629,571,748,650,684,728,864,980,851,4500,2630,833,946,850
225,837,702,708,614,616,787,673,737,724,881,989,906,4240,2549,866,916,876
226,848,703,717,635,601,773,651,717,734,871,1019,926,5545,2491,839,941,853
227,829,672,740,626,628,766,678,756,760,910,955,941,4393,2386,872,901,914
228,817,681,720,689,615,802,621,729,745,835,925,864,4907,2294,775,795,862
229,809,679,665,679,597,787,603,722,693,773,897,840,5193,2271,760,785,815
230,758,648,716,632,617,790,670,652,698,769,853,845,4528,2287,762,750,800
231,785,645,695,659,655,801,678,696,707,827,889,812,4538,2238,756,794,820
232,718,615,688,580,588,771,632,655,683,788,891,836,4516,2274,760,789,792
233,747,635,684,624,633,773,661,713,713,763,892,855,4551,2291,720,833,770
234,751,652,692,664,644,735,660,729,718,769,934,807,5268,2270,735,821,771
235,743,681,628,588,605,712,604,693,673,800,880,827,5302,2295,765,817,825
236,722,614,698,598,599,754,578,660,679,818,880,859,2253,2264,785,869,818
237,724,622,679,581,589,725,598,672,661,719,841,854,2403,2260,738,788,785
238,729,656,687,633,593,724,641,695,664,771,861,827,2427,2249,758,791,786
239,758,642,672,639,586,754,628,671,688,765,880,790,2431,2268,732,784,739
240,693,649,660,596,543,724,641,655,647,824,811,828,3367,2219,768,774,789
241,651,638,666,578,590,770,633,651,634,779,838,818,3444,2270,767,793,785
242,675,655,669,601,584,742,620,667,668,815,885,830,3349,2262,736,785,830
